,SUM_TAXEXCLUSIVEAMOUNT,SUM_TAXINCLUSIVEAMOUNT,INVOICE_COUNT,CURRENCY_CAD,CURRENCY_CHF,CURRENCY_CNY,CURRENCY_EUR,CURRENCY_GBP,CURRENCY_HUF,CURRENCY_PLN,CURRENCY_RON,CURRENCY_SEK,CURRENCY_USD,MIN_INV_PERIOD,MAX_INV_PERIOD
570537955,9632000.0,12232640.0,4,0,0,0,0,0,1,0,0,0,0,11,18
570537963,153828172.0,191838279.0,40,0,0,0,0,0,1,0,0,0,0,-2,21
570537969,2776000.0,2776000.0,26,0,0,0,0,0,1,0,0,0,0,-22,30
570537970,8829661.0,11213671.0,39,0,0,0,0,0,1,0,0,0,0,7,10
570537972,1710520.0,2172360.0,3,0,0,0,0,0,1,0,0,0,0,8,8
570537975,3255892.0,4134983.0,5,0,0,0,0,0,1,0,0,0,0,8,8
570537977,4215000.0,4215000.0,2,0,0,0,0,0,1,0,0,0,0,43,43
570537979,9381333.0,11051657.75,45,0,0,0,1,0,1,0,0,0,0,-6,43
570537980,26063008.0,33100012.0,66,0,0,0,0,0,1,0,0,0,0,0,45
570537982,8612387.0,8612387.0,252,0,0,0,0,0,1,0,0,0,0,-25,15
570537984,12599473.0,15914934.0,48,0,0,0,0,0,1,0,0,0,0,0,30
570557314,38366800.0,48725836.0,6,0,0,0,0,0,1,0,0,0,0,30,75
570557316,9040787.0,9040790.0,3,0,0,0,0,0,1,0,0,0,0,0,0
570557322,10661365.0,12041381.0,31,0,0,0,0,0,1,0,0,0,0,0,15
570557325,67241253.0,85396393.0,49,0,0,0,0,0,1,0,0,0,0,-5,15
570557337,5400000.0,5400000.0,10,0,0,0,0,0,1,0,0,0,0,0,27
570557341,729530.0,729530.0,14,0,0,0,0,0,1,0,0,0,0,0,8
572170944,705058377.0,783466251.0,65,0,0,0,0,0,1,0,0,0,0,-160,30
572170954,77404654.0,98303910.0,46,0,0,0,0,0,1,0,0,0,0,-19,30
572170956,55343.15,58602.11000000002,92,0,0,0,1,0,0,0,0,0,0,-26,8
572170961,2896000.0,2896000.0,54,0,0,0,0,0,1,0,0,0,0,0,12
572457642,119098429.0,151255005.0,45,0,0,0,0,0,1,0,0,0,0,-25,8
572457646,4119451.0,4945936.0,26,0,0,0,0,0,1,0,0,0,0,0,30
572457650,4050913.0,4050913.0,260,0,0,0,0,0,1,0,0,0,0,-128,30
572457652,1443650.0,1443650.0,31,0,0,0,0,0,1,0,0,0,0,-2,30
572457654,11402000.0,14480540.0,18,0,0,0,0,0,1,0,0,0,0,0,43
572457659,58481942.0,71061424.0,25,0,0,0,0,0,1,0,0,0,0,0,31
572457661,500000.0,500000.0,5,0,0,0,0,0,1,0,0,0,0,-21,8
572457663,2409600.0,2409600.0,9,0,0,0,0,0,1,0,0,0,0,8,15
572777022,4440353.0,5639249.0,52,0,0,0,0,0,1,0,0,0,0,0,8
572781569,2467606.0,2467606.0,121,0,0,0,0,0,1,0,0,0,0,-132,30
572781573,595000.0,595000.0,21,0,0,0,0,0,1,0,0,0,0,4,23
572800597,0.0,0.0,14,0,0,0,0,0,1,0,0,0,0,-24,0
572800615,979170.0,979170.0,14,0,0,0,0,0,1,0,0,0,0,3,17
572800649,16727831.0,21244347.0,12,0,0,0,0,0,1,0,0,0,0,-5,17
572800711,590000.0,749300.0,2,0,0,0,0,0,1,0,0,0,0,8,8
572800724,5050000.0,5050000.0,17,0,0,0,0,0,1,0,0,0,0,0,9
572800737,9206205.0,11691880.0,53,0,0,0,0,0,1,0,0,0,0,1,9
572800741,4918876.0,5164026.0,117,0,0,0,0,0,1,0,0,0,0,0,37
573355389,5399200.0,5399200.0,197,0,0,0,0,0,1,0,0,0,0,-10,15
573355394,3591052.0,4560641.0,98,0,0,0,0,0,1,0,0,0,0,-11,8
573355405,120602226.0,151284106.0,59,0,0,0,0,0,1,0,0,0,0,-9,30
573355413,21732673.0,27600649.0,1393,0,0,0,0,0,1,0,0,0,0,-21,10
573355414,20265612.0,25737384.0,522,0,0,0,0,0,1,0,0,0,0,-5,8
573355417,0.0,0.0,4,0,0,0,0,0,1,0,0,0,0,-4,8
573355423,9000000.0,11430000.0,10,0,0,0,0,0,1,0,0,0,0,8,15
573703901,2202500.0,2202500.0,38,0,0,0,0,0,1,0,0,0,0,0,18
573703906,32987340.0,41894019.0,866,0,0,0,0,0,1,0,0,0,0,-3,30
573718085,1080075.0,1080075.0,6,0,0,0,0,0,1,0,0,0,0,15,30
574009953,4559900.0,4559900.0,49,0,0,0,0,0,1,0,0,0,0,0,15
574009956,13933000.0,17681410.0,5,0,0,0,0,0,1,0,0,0,0,0,15
574009960,853144.0,1083493.0,19,0,0,0,0,0,1,0,0,0,0,0,3
574009964,1700107.0,1700107.0,8,0,0,0,0,0,1,0,0,0,0,0,11
574009968,9547786.0,9547786.0,28,0,0,0,0,0,1,0,0,0,0,-9,15
574276704,14469400.0,14469400.0,453,0,0,0,0,0,1,0,0,0,0,-43,15
574544897,913386.0,1159997.0,4,0,0,0,0,0,1,0,0,0,0,0,8
574544919,16903982.2,21468057.81,10,0,0,0,1,0,1,0,0,0,0,8,8
574544933,1733400.0,1733400.0,21,0,0,0,0,0,1,0,0,0,0,-5,31
574544934,978339.0,1242492.0,7,0,0,0,0,0,1,0,0,0,0,13,15
574544936,816000.0,816000.0,10,0,0,0,0,0,1,0,0,0,0,-5,38
574544944,7320000.0,7320000.0,21,0,0,0,0,0,1,0,0,0,0,8,8
574544947,17524400.0,17524400.0,421,0,0,0,0,0,1,0,0,0,0,-10,16
574544948,4064918.0,4064918.0,4,0,0,0,0,0,1,0,0,0,0,30,60
574544956,680000.0,680000.0,2,0,0,0,0,0,1,0,0,0,0,15,15
574544959,78034401.0,99103691.0,42,0,0,0,0,0,1,0,0,0,0,0,46
574544971,2189977.0,2189977.0,11,0,0,0,0,0,1,0,0,0,0,7,30
574544978,289328.0,340185.0,7,0,0,0,0,0,1,0,0,0,0,0,8
574544981,61689870.0,61760331.0,16,0,0,0,0,0,1,0,0,0,0,0,30
574544983,13000.0,13770.0,5,0,0,0,0,0,1,0,0,0,0,8,30
574552430,2427000.0,3082290.0,15,0,0,0,0,0,1,0,0,0,0,-2,8
574552433,11517874.0,14627698.0,171,0,0,0,0,0,1,0,0,0,0,-1,8
575265088,2952320.0,2952320.0,69,0,0,0,0,0,1,0,0,0,0,0,8
575265089,17088891.0,21702895.0,112,0,0,0,0,0,1,0,0,0,0,-23,15
575318524,8419606.0,10692901.0,32,0,0,0,0,0,1,0,0,0,0,0,15
575318527,3150000.0,3150000.0,45,0,0,0,0,0,1,0,0,0,0,0,15
575318529,6240679.0,7923157.500000001,373,0,0,0,1,0,1,0,0,0,0,-9,70
575318530,1045309.0,1254617.0,92,0,0,0,0,0,1,0,0,0,0,0,8
575318533,2297286.0,2676150.0,4,0,0,0,0,0,1,0,0,0,0,0,30
575318546,4972075.0,6305021.0,206,0,0,0,0,0,1,0,0,0,0,-34,15
575318547,23381868.0,29694974.0,205,0,0,0,0,0,1,0,0,0,0,-1,32
575318552,450000.0,450000.0,4,0,0,0,0,0,1,0,0,0,0,8,8
575889007,104000.0,104000.0,1,0,0,0,0,0,1,0,0,0,0,15,15
575889009,252409290.0,252409290.0,76,0,0,0,0,0,1,0,0,0,0,0,30
575889015,9613386.0,12209000.0,2,0,0,0,0,0,1,0,0,0,0,8,15
575889018,8541525.0,8541525.0,9,0,0,0,0,0,1,0,0,0,0,59,62
575903049,1277850.0,1277850.0,4,0,0,0,0,0,1,0,0,0,0,8,15
575903051,368461770.0,467941144.0,90,0,0,0,1,0,1,1,0,0,0,0,61
577129660,92500.0,92500.0,7,0,0,0,0,0,1,0,0,0,0,0,0
578039129,2535000.0,2535000.0,30,0,0,0,0,0,1,0,0,0,0,8,10
578039133,2447200.0,2447200.0,14,0,0,0,0,0,1,0,0,0,0,9,10
578039136,327800.0,327800.0,4,0,0,0,1,0,1,0,0,0,0,7,15
578631986,1726500.0,1726500.0,13,0,0,0,0,0,1,0,0,0,0,13,19
578631988,8948689.0,11364836.0,15,0,0,0,0,0,1,0,0,0,0,5,23
578631991,2533500.0,2533500.0,32,0,0,0,0,0,1,0,0,0,0,0,30
578632001,6539542.0,6539542.0,14,0,0,0,0,0,1,0,0,0,0,-4,8
578632004,5419866.0,6295972.6,190,0,0,0,1,0,1,0,0,0,0,-4,88
578632008,7100000.0,9017000.0,7,0,0,0,0,0,1,0,0,0,0,3,8
578650183,21840758.0,21890708.0,22,0,0,0,0,0,1,0,0,0,0,0,30
578650185,4420000.0,4420000.0,52,0,0,0,0,0,1,0,0,0,0,-1,8
578650188,9063000.0,11510012.0,29,0,0,0,0,0,1,0,0,0,0,0,30
578650190,1533800.0,1947926.0,5,0,0,0,0,0,1,0,0,0,0,15,15
578650194,755400.0,755400.0,4,0,0,0,0,0,1,0,0,0,0,8,9
578650195,1339062.1300000001,1339062.1300000001,22,0,0,0,1,0,1,0,0,0,0,0,30
578650203,45890321.0,58280712.0,691,0,0,0,0,0,1,0,0,0,0,-137,30
578650204,5945130.0,5945130.0,234,0,0,0,0,0,1,0,0,0,0,15,30
578650210,4075501.0,4075500.0,81,0,0,0,0,0,1,0,0,0,0,-141,8
578650212,3172816.0,3172816.0,15,0,0,0,0,0,1,0,0,0,0,-3,19
578650217,10132200.0,12867894.0,15,0,0,0,0,0,1,0,0,0,0,-6,30
578650219,6461000.0,8205469.0,30,0,0,0,0,0,1,0,0,0,0,15,30
578650220,4247300.0,4247300.0,16,0,0,0,0,0,1,0,0,0,0,8,30
579450932,2054050.0,2054050.0,14,0,0,0,0,0,1,0,0,0,0,8,8
579450940,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,71,90
579450947,4868500.0,4868500.0,8,0,0,0,0,0,1,0,0,0,0,6,30
579801422,2573600.0,2573600.0,37,0,0,0,0,0,1,0,0,0,0,-16,9
579801425,1140000.0,1140000.0,19,0,0,0,0,0,1,0,0,0,0,0,30
579801429,68292.0,68292.0,9,0,0,0,1,0,0,0,0,0,0,7,18
579801432,1300000.0,1300000.0,24,0,0,0,0,0,1,0,0,0,0,0,15
580218844,20000.0,20000.0,1,0,0,0,0,0,1,0,0,0,0,0,0
580218848,3395000.0,3395000.0,8,0,0,0,0,0,1,0,0,0,0,2,3
580218850,5064500.0,5064500.0,14,0,0,0,0,0,1,0,0,0,0,8,30
580236078,4949600.0,6285992.0,18,0,0,0,0,0,1,0,0,0,0,5,8
580236090,328836.0,414268.85999999964,160,0,0,0,1,0,1,0,0,0,0,-12,61
580236092,38286966.0,48065454.0,20,0,0,0,0,0,1,0,0,0,0,0,30
581226358,9615684.0,12211922.0,193,0,0,0,0,0,1,0,0,0,0,-14,8
581226370,10656356.0,13533572.0,37,0,0,0,0,0,1,0,0,0,0,-38,30
581226374,8728.0,11085.0,1,0,0,0,0,0,1,0,0,0,0,0,0
581226376,2300000.0,2300000.0,4,0,0,0,0,0,1,0,0,0,0,0,8
581242706,1648249.0,1648249.0,12,0,0,0,0,0,1,0,0,0,0,-2,8
581242707,680000.0,863600.0,19,0,0,0,0,0,1,0,0,0,0,0,8
581242776,40063454.76,49462375.07999999,46,0,0,0,1,0,1,0,0,0,0,0,30
581242790,7170000.0,9105900.0,26,0,0,0,0,0,1,0,0,0,0,8,25
582195566,6540542.0,8306488.0,46,0,0,0,0,0,1,0,0,0,0,-10,8
582195605,1494000.0,1897380.0,56,0,0,0,0,0,1,0,0,0,0,8,11
582195610,5400000.0,5400000.0,11,0,0,0,0,0,1,0,0,0,0,15,15
582533532,184400.0,184400.0,10,0,0,0,0,0,1,0,0,0,0,0,15
582533541,11748975.0,14921199.0,12,0,0,0,0,0,1,0,0,0,0,16,28
582533543,5659500.0,5659500.0,65,0,0,0,0,0,1,0,0,0,0,0,15
582558741,10200632.0,10682676.0,255,0,0,0,0,0,1,0,0,0,0,-3,8
582565973,2028000.0,2028000.0,8,0,0,0,0,0,1,0,0,0,0,7,7
582565979,13922760.0,17681906.0,48,0,0,0,0,0,1,0,0,0,0,-7,40
582998730,5211202.0,6618226.0,22,0,0,0,0,0,1,0,0,0,0,-64,8
582998736,2809798.0,2809798.0,21,0,0,0,1,0,1,0,0,0,0,2,8
582998739,9880000.0,9880000.0,6,0,0,0,0,0,1,0,0,0,0,4,15
582998740,9311910.0,11826125.0,8,0,0,0,0,0,1,0,0,0,0,10,35
582998742,79558905.0,79558905.0,88,0,0,0,0,0,1,0,0,0,0,-8,30
583014896,8166805.0,8166806.0,669,0,0,0,0,0,1,0,0,0,0,-7,10
583014899,10785722.0,12450820.0,289,0,0,0,0,0,1,0,0,0,0,0,33
583014907,4535697.0,5760336.0,26,0,0,0,0,0,1,0,0,0,0,0,8
583014916,2561780.0,3253461.0,2,0,0,0,0,0,1,0,0,0,0,21,22
583014920,755620.0,959638.0,10,0,0,0,0,0,1,0,0,0,0,7,10
583014926,39367756.0,39367756.0,23,0,0,0,0,0,1,0,0,0,0,1,30
583029220,125120.0,125120.0,45,0,0,0,0,0,1,0,0,0,0,-36,8
583029222,45918156.0,49943513.0,41,0,0,0,0,0,1,0,0,0,0,0,30
583029236,1968000.0,1968000.0,55,0,0,0,0,0,1,0,0,0,0,0,30
583042630,30000.0,30000.0,1,0,0,0,0,0,1,0,0,0,0,8,8
583042632,6225377.0,6225377.0,52,0,0,0,0,0,1,0,0,0,0,0,30
584553803,12500.0,15875.0,1,0,0,0,0,0,1,0,0,0,0,15,15
