index,PARTY_ID,LOB_CODE,SIZE,PACKAGE,REGION,COUNTY
0,233823894,49414,9,3,1,12
1,233823896,55174,4999,3,1,12
2,233823898,70224,1,3,1,12
3,233823900,81104,4,3,2,12
4,233823901,46514,9,3,1,12
5,233823903,94994,1,3,2,11
6,233823905,55174,1,2,6,2
7,233823907,52214,49,10,3,11
8,233831941,55174,1,2,2,12
9,233831943,47914,1,10,6,2
10,233831946,47304,19,10,9,6
11,233831947,55174,1,10,1,12
12,233831949,55174,1,3,4,7
13,233831951,46384,1,10,1,12
14,233832689,69204,1,10,5,3
15,233832692,70224,1,10,1,12
16,233832694,18134,19,8,1,12
17,233832697,47714,1,3,3,8
18,233832701,73114,19,2,1,12
19,233834751,47294,1,3,6,2
20,233834753,81304,4,0,6,4
21,233834755,47264,9,1,6,4
22,233834757,70224,1,10,3,1
23,233951526,55174,1,2,6,2
24,234623183,62024,9,3,1,12
25,234623184,55174,1,3,2,12
26,234623186,69204,1,3,3,8
27,234527508,16294,1,10,1,12
28,234527511,45324,1,3,3,1
29,234529187,55174,1,3,3,8
30,234529189,10714,49,10,9,6
31,234529193,62024,1,3,1,12
32,234529195,70224,1,10,1,12
34,234623822,41204,9,3,8,5
35,234623824,68204,1,10,1,12
36,234623826,55174,1,3,5,3
37,234623830,46904,1,10,5,9
38,234958218,33124,1,2,9,6
39,234958219,46384,1,3,1,12
40,234958221,46184,1,3,1,12
41,234948113,55174,1,3,7,15
42,234948115,41204,1,3,7,0
43,234948117,49414,9,10,2,10
44,234948120,18204,99,3,4,14
45,234948122,55174,1,10,7,0
46,234948124,69204,1,10,2,12
47,234958224,47714,999,3,2,12
48,234958226,62034,1,10,1,12
49,234958228,45114,1,10,7,0
50,234958230,47264,4,3,3,1
51,234958232,85594,4,3,1,12
52,234958234,42124,49,8,2,12
53,234958237,45404,1,3,1,12
54,234958239,62014,9,0,1,12
55,234961321,70224,1,3,8,18
56,234961326,66224,1,10,8,13
57,234961327,69204,1,3,1,12
58,234961330,49414,9,10,7,13
59,236663910,68204,1,3,1,12
60,236666715,47434,1,10,3,8
61,236668979,47594,1,8,5,9
62,236739520,47264,19,1,1,12
63,236907248,55174,1,3,8,17
64,236907250,25624,9,0,2,5
65,236907252,18134,1,3,1,12
66,236907255,55174,1,3,6,2
67,236911973,41204,19,3,3,1
68,236911976,46224,19,3,8,5
69,236911978,55174,1,3,9,6
70,236913965,55174,1,3,7,0
71,236913967,96024,1,10,5,3
72,236920200,55174,1,10,9,16
73,236920202,69204,4,3,1,12
74,236920205,62014,9,8,4,7
75,237501219,28294,1,3,8,17
76,237501281,82194,4,10,8,18
77,237501283,55174,1,3,9,6
78,236921462,55174,1,1,8,5
79,236921464,55174,1,3,3,1
80,237652298,55174,1,3,7,0
81,237652300,42224,19,10,7,0
82,237652302,62024,1,10,1,12
83,237655988,49414,9,10,8,17
84,237655990,93124,1,3,4,14
85,237655992,55174,1,10,3,8
86,237657767,47414,19,3,1,12
87,237657769,73114,1,1,2,12
88,237657771,77394,1,3,1,12
89,237657773,59114,1,10,2,12
90,237661614,47914,1,3,1,12
91,237667820,93294,1,2,1,12
92,237667822,55174,1,3,1,12
93,237776168,62024,1,10,2,12
94,237776171,85594,1,3,1,12
95,239431572,74904,1,3,5,9
96,239431574,92004,99,10,4,7
97,239431577,56304,9,10,4,7
98,239431579,43994,4,10,6,4
99,239431580,68104,1,1,6,4
100,239431582,55174,1,5,2,12
101,239431585,59114,9,10,1,12
102,239436801,55174,1,3,7,0
103,239436807,55174,1,2,2,10
104,239436809,47734,9,10,8,17
105,239436811,68204,1,10,1,12
106,239436816,93124,9,10,9,6
107,239442056,55174,1,10,8,17
108,239442059,77294,1,0,2,12
109,239442062,46614,9,0,6,4
110,239508933,46624,1,1,2,12
111,239445354,46524,4,0,1,12
112,239508935,72194,1,0,5,9
113,239508936,42114,4,3,6,4
114,239508939,69204,4,3,5,3
115,239555419,73124,49,10,1,12
116,239556344,62014,1,0,1,12
117,239556346,45114,1,0,3,8
118,239556349,62094,1,1,5,3
119,239560828,62094,19,1,2,12
120,239560831,55174,1,3,2,10
121,239565694,55174,1,0,2,10
122,239565696,55174,1,0,9,6
123,239565698,55174,1,1,2,12
124,239565700,69204,9,0,6,4
125,239565704,66194,9,3,9,16
126,239565706,55174,1,1,5,3
127,239565709,55174,1,3,1,12
128,239565711,69204,1,3,1,12
129,239565713,68104,1,10,1,12
130,239565714,73114,1,3,8,5
131,239569328,69204,1,3,8,13
132,239569332,55174,1,2,1,12
133,239569334,46904,9,1,8,18
134,239569338,47914,1,10,1,12
135,251688253,69204,4,0,7,0
136,251688255,71124,1,1,2,12
137,251688259,77114,1,10,1,12
138,251688262,69204,1,0,1,12
139,251688264,82114,1,0,1,12
140,251688266,45204,1,1,1,12
141,251688268,42224,1,1,6,4
142,251688270,70224,1,8,1,12
144,251688274,22234,9,3,1,12
145,251688275,55174,1,3,1,12
146,251688276,46734,1,10,4,7
147,251688277,46734,1,10,4,7
148,251688279,55174,1,2,1,12
149,251688283,69204,1,0,3,8
150,251688284,43224,1,3,1,12
151,251688289,59114,1,0,1,12
152,251688290,41204,1,3,2,5
153,251688291,46734,1,3,4,7
154,251688293,71124,1,3,1,12
155,251688294,55174,1,3,1,12
156,251688296,74304,1,1,1,12
157,254235399,81304,4,0,5,9
158,254235401,27404,1,11,1,12
159,254235403,82994,1,0,1,12
160,254235405,71124,1,3,1,12
161,254235407,64994,1,0,8,18
162,254235408,27904,1,10,1,12
163,254235410,45324,49,0,1,12
164,251701790,56104,19,0,5,3
165,251701794,77214,1,2,3,8
166,251701797,47914,1,0,1,12
167,251701799,55174,1,2,9,6
168,251701801,91024,9,1,1,12
169,251701805,82194,1,1,1,12
170,251701806,68314,1,3,6,2
171,251701809,55174,1,0,8,13
172,251701811,70224,1,3,1,12
173,251701813,55174,1,8,2,12
175,251701815,56104,19,3,2,10
176,251701818,86904,1,7,4,7
177,251701820,86224,1,0,4,14
178,253884723,46734,1,3,4,7
179,253884725,71114,1,1,8,17
180,253884726,55174,1,10,4,14
181,253884728,25614,9,0,1,12
182,253884729,42214,19,3,4,7
183,253884731,43994,4,0,6,4
184,253884733,55174,1,0,2,12
185,254235413,33124,19,10,1,12
186,254235416,46524,1,3,2,12
187,254235418,70224,1,5,1,12
188,254235420,70224,1,1,2,12
189,240020288,52104,19,3,4,7
190,240020294,62094,4,2,6,4
191,240020297,71124,1,10,7,0
192,240020299,71124,1,2,1,12
193,240096346,55174,1,11,1,12
194,240096347,55174,1,11,1,12
195,240096348,55174,1,11,1,12
196,240096349,55174,1,11,1,12
197,240096350,55174,1,11,1,12
198,240096351,55174,1,11,1,12
199,240096352,55174,1,11,1,12
200,240096353,55174,1,11,1,12
201,240096354,55174,1,11,1,12
202,240096355,55174,1,11,1,12
203,240096356,55174,1,11,1,12
204,240096358,55174,1,11,1,12
205,240096359,55174,1,11,1,12
206,240096360,55174,1,11,1,12
207,240011474,47524,9,0,1,12
208,240011476,47524,9,2,1,12
209,240011480,63994,1,2,3,1
210,240011481,41204,9,8,8,18
211,240011482,68104,1,8,1,12
212,240029732,47914,4,0,8,18
213,240029736,69204,4,3,8,18
214,240029738,77114,1,2,1,12
215,240029740,63994,1,1,3,1
216,240029745,69204,9,0,3,1
217,240029749,96044,1,0,1,12
218,240029752,74904,1,8,1,12
219,240029754,81214,9,8,1,12
220,240029756,55174,1,3,2,12
221,240029758,74904,1,3,1,12
222,240029762,42914,1,0,2,10
223,240041146,43994,49,1,1,12
224,240041149,62014,1,3,3,1
225,240041151,55174,1,2,2,12
226,240041154,69204,1,1,5,9
227,240041156,61104,19,3,1,12
228,240096361,55174,1,11,1,12
229,240096362,55174,1,11,1,12
230,240096363,55174,1,11,1,12
231,240096364,55174,1,11,1,12
232,240096365,55174,1,11,1,12
233,240096366,55174,1,11,1,12
234,240096367,55174,1,11,1,12
235,240096368,55174,1,11,1,12
236,240096370,55174,1,11,1,12
237,240096371,55174,1,11,1,12
238,240096372,55174,1,11,1,12
239,240096373,55174,1,11,1,12
240,240096374,55174,1,11,1,12
241,325646855,85414,1,1,2,12
242,325646857,46134,1,3,2,12
243,325646859,41104,1,3,2,12
244,325646862,85534,9,3,1,12
245,325646865,81214,9,3,6,2
246,325646867,66224,1,0,1,12
247,325646869,55174,1,3,8,18
248,325646870,86904,1,0,1,12
249,325646872,70224,1,1,1,12
250,325646875,82114,1,1,6,2
251,325646876,28224,9,1,1,12
252,325646880,68104,1,3,1,12
253,325646881,27904,1,0,2,12
254,325646882,49394,1,3,2,12
255,325646885,96044,1,0,2,11
256,325646887,45114,1,0,1,12
257,325646889,55174,1,3,5,3
258,325646890,55174,1,3,5,3
259,325646891,70224,1,1,2,12
260,325646892,10714,1,1,2,12
261,325646894,55174,1,0,8,13
262,240558685,46124,1,10,2,12
263,240558687,33144,1,3,1,12
264,240562106,55174,1,1,6,2
265,240562109,74904,4,10,6,2
266,240562111,79904,1,1,1,12
267,240562113,69204,1,10,1,12
268,240562115,45114,1,3,6,2
269,240586206,55174,1,10,1,12
270,240586207,55174,1,3,1,12
271,240586208,55174,1,3,1,12
272,240586211,55174,1,0,8,5
273,240586214,55174,1,1,1,12
274,240586216,43994,1,0,1,12
275,240586220,68314,4,0,1,12
276,240592387,55174,1,0,5,3
277,240592389,47114,1,0,5,9
278,240592395,47714,1,3,7,0
279,240592397,46314,9,3,7,15
280,240606395,68314,1,8,1,12
281,240606397,63914,1,1,1,12
282,240606399,61104,4,10,8,17
285,240595838,86104,1,0,2,12
286,240595840,55174,1,3,1,12
287,240595843,68104,9,3,1,12
288,240595845,55174,1,1,9,16
289,240595849,62024,1,3,2,12
290,240595851,62014,1,10,2,12
291,240606404,41104,1,3,2,12
292,240606406,62034,1,1,1,12
293,240606408,61204,1,0,1,12
294,240606410,28994,1,0,1,12
295,240606412,82194,9,10,1,12
297,240606413,62024,1,10,1,12
298,240606415,62014,1,0,2,5
299,240606418,55174,1,3,8,17
300,240606421,55174,1,10,1,12
301,240606424,55174,1,3,8,5
302,240632972,55174,1,3,1,12
303,240632976,55174,1,3,6,4
304,240613403,25624,49,1,6,2
305,240613408,46774,1,3,1,12
306,240613410,56104,19,0,1,12
307,240613411,55174,1,10,1,12
308,391902866,47424,1,0,2,12
309,391902868,43344,1,10,2,12
310,391902870,18124,1,0,2,10
311,391902872,18124,4,0,2,10
312,391902874,68104,1,1,8,17
313,391902876,55174,1,3,4,7
314,391902879,74304,1,1,2,12
315,391902881,55174,1,0,9,6
316,391902882,68204,1,0,9,6
317,391902883,42114,1,0,9,6
318,391902884,68104,1,0,9,6
319,391902887,41204,1,0,9,6
320,391902889,41204,49,0,9,6
321,391902891,46174,1,3,4,14
322,393130480,42124,49,3,2,12
323,393130482,68314,1,8,1,12
324,393130485,82114,1,3,1,12
325,395180049,62014,1,1,2,12
326,394031853,70224,49,10,1,12
327,394031856,55174,1,3,4,7
328,394031861,24534,1,3,3,1
329,394031863,55174,1,5,1,12
330,394031865,47594,4,3,6,2
331,394031866,47424,1,0,2,12
332,394031867,47424,1,0,2,12
333,394031871,85594,19,10,1,12
334,394031874,55174,1,1,7,0
335,394031876,68204,4,3,5,9
336,394031878,43214,9,1,2,12
337,394031880,55174,1,3,9,6
338,394031882,55174,1,2,4,7
339,394042901,69204,1,3,1,12
340,394042903,55174,1,3,3,1
341,394042907,73114,1,3,1,12
342,394042912,46214,1,3,7,0
343,394042914,62024,9,8,1,12
344,394042916,62024,1,1,1,12
345,394042918,47714,1,0,1,12
346,395559312,55174,1,3,2,12
347,395559315,55174,1,5,2,12
348,395559317,47114,1,3,5,3
349,395180054,49414,1,3,1,12
350,395180057,71124,1,1,3,1
351,395180061,45194,1,0,7,15
352,395180063,55174,1,10,8,18
353,395180067,80104,1,2,2,12
354,251636396,55174,1,5,4,14
355,251636399,47264,9,0,3,1
356,251636400,82914,19,1,2,12
357,251636402,68204,1,0,1,12
358,251636404,46764,9,8,1,12
359,251636407,58114,1,0,8,5
360,251636410,47764,1,3,2,12
361,251636411,71204,1,0,1,12
362,251636413,58144,1,1,4,14
363,251636415,47994,9,0,2,10
364,251636417,45204,1,0,5,3
365,251636421,69204,49,3,1,12
366,251636423,55104,1,10,6,4
367,251636425,47784,4,1,3,1
368,251636426,55174,1,3,4,7
369,251636429,16104,9,10,6,2
370,251636431,45324,1,0,1,12
371,251636434,62094,1,10,8,13
372,251636435,47524,4,1,2,12
373,251636437,82304,1,1,1,12
374,251636441,62024,1,10,1,12
375,251636443,70224,1,8,4,14
376,251636446,86214,1,1,1,12
377,251636449,81304,19,3,6,2
378,251636450,71124,1,0,2,12
379,251636452,46754,1,3,1,12
380,251636455,86904,9,0,8,5
381,251636456,47594,1,1,7,0
382,251636457,62024,1,3,1,12
383,251636459,70224,1,3,1,12
384,251636460,69204,1,0,3,1
385,251636462,47734,9,0,6,2
386,251636464,70224,1,0,1,12
387,251636467,70224,19,8,1,12
388,251636468,55174,4,1,5,9
389,251636471,70224,1,1,1,12
390,251636473,68324,1,3,1,12
391,251636474,68204,1,3,3,8
392,251636477,43214,1,3,5,9
393,251636479,47734,19,3,1,12
394,233823879,55174,1,3,2,5
395,233823881,47784,4,3,2,12
396,233823883,49414,1,3,1,12
397,233823885,47304,49,3,1,12
398,233823888,64204,1,3,2,12
399,233823891,47114,4,3,6,2
400,233823938,41204,9,10,4,7
